B: Polgar
N: Marius

06 27
64 44
11 31
76 64
16 36
60 50
02 20
64 56
15 25
71 52
27 35
52 33
12 32
77 76
36 46
56 77
32 42
33 21
42 52
21 02
17 37
50 40
07 27
75 42
27 26
73 46
01 22
76 75
22 30
74 64
30 11
75 74
26 16
42 24
16 06
02 14
06 16
46 45
16 46
45 34
03 12
64 73
12 34
24 13
c04 14
40 31
00 01
13 24
35 56
74 75
56 64
24 33
46 16
65 45
01 04
31 21
34 24
61 41
11 30
33 51
04 00
51 24
00 02
70 30
37 47
24 02
25 35
44 35
20 02
77 56
14 13
63 52
64 56
41 31
56 75
72 50
75 63
21 11
16 26
50 41
26 66
67 57
66 36
73 64
05 14
30 60
14 32
64 74
13 04
31 21
04 15
11 01
p D
15 05
01 00
36 06
00 02
c05 15
74 64
63 55
21 11
06 07
60 70
32 65
02 42
c15 04
70 74
55 34
11 01
p D
c04 13
74 75
65 76
41 05
34 53
05 32
53 74
42 06
07 37
32 50
13 22
06 03
74 55
01 41
55 36
03 25
c22 12
25 14
c12 22
14 44
c22 13
41 01
76 65
01 03
c13 03
44 53
c65 43
53 55
03 04
55 66
43 54
50 14
36 44
75 72
10 30
14 25
44 25
66 65
37 35
65 47
54 43
52 43
35 45
47 74
04 03
72 73
25 13
74 63
45 65
c64 74
65 67
63 67
13 21
74 63
21 33
67 76
03 13
73 72
13 22
76 74
22 31
74 24
31 42
24 33
c42 33
63 73
30 40
57 47
33 44
62 42
44 43
73 74
43 32
74 63
32 43
72 70
43 32
70 75
32 41
75 65
41 42
65 15
42 33
15 11
33 24
11 13
24 35
63 74
40 50
13 16
50 60
16 26
60 70
p D
c74 64
70 71
47 37
71 53
c64 65
53 56
c65 64
56 74
c64 53
74 56
c53 63
56 74
c63 62
74 64
c62 72
64 46
72 63
46 40
26 20
40 04
37 27
04 26
63 74
26 20
74 65
35 24
65 54
20 22
54 64
24 33
64 65
22 24
65 76
24 26
c76 67
26 25
67 56
25 07
56 47
07 06
47 57
33 24
27 17
24 14
57 67
06 02
67 66
14 25
66 75
02 13
17 07
p T
25 24
07 05
13 53
c75 76
53 42
76 67
42 20
05 65
20 53
65 60
53 13
60 50
13 53
50 00
53 23
c67 76
24 25
00 01
23 12
76 66
12 03
01 00
03 07
66 56
07 06
c56 67
06 15
00 10
25 26
10 14
15 60
c67 57
26 36
14 24
60 40
24 26
c36 35
26 20
40 60
20 26
60 70
26 20
70 50
c57 66
50 55
c66 55
35 36
20 10
36 27
10 15
27 26
55 44
26 37
15 12
37 46
44 53
46 45
53 63
45 36
12 11
36 37
11 51
37 47
51 56
47 56
63 52
56 55
52 62
55 64
62 52
64 74
52 53
74 75
53 63
75 76
63 53
76 66
53 63
66 65
63 52
65 66
52 61
66 55
61 52
55 64
52 61
64 63
61 70
63 73
70 61
73 74
61 62
74 64
62 52
64 74
52 43
74 73
43 42
73 74
42 32
74 63
32 21
63 52
21 30
52 61
30 31
61 72
31 20
72 62
20 31
62 71
31 22
71 72
22 11
72 71
END:0
