B: Shaldon
N: Polgar

12 32
61 41
17 27
72 61
03 30
66 46
11 31
62 52
16 36
63 53
30 50
71 50
02 11
73 71
11 55
64 54
07 17
71 62
05 16
62 64
55 64
50 31
16 05
75 66
15 25
61 50
10 20
66 55
05 16
31 12
c04 03
70 71
00 10
74 64
10 00
55 00
14 34
64 73
27 37
65 45
32 41
73 62
25 35
45 36
16 27
52 41
06 25
71 74
27 05
12 04
25 44
50 72
13 33
00 11
05 14
62 71
33 43
54 43
20 30
11 20
17 27
04 12
14 23
74 44
03 13
20 11
13 12
60 40
35 46
71 60
46 56
43 34
30 41
60 71
23 34
67 57
41 51
40 30
27 23
77 67
34 70
44 41
12 13
11 00
37 47
00 77
23 25
67 61
25 15
41 21
15 35
36 26
35 55
76 55
70 61
21 20
61 43
55 43
51 61
20 24
13 02
END:7
