B: Shaldon
N: Pippo

15 25
62 42
13 23
67 47
11 21
63 53
04 13
77 67
02 20
71 50
13 24
50 62
12 22
66 46
03 13
62 54
17 27
60 40
24 15
73 63
25 35
63 52
16 26
53 43
06 25
74 63
13 03
47 37
15 24
70 50
25 06
50 70
06 25
54 66
35 45
52 62
22 32
66 47
45 55
63 52
25 17
62 51
20 42
43 32
05 16
c52 62
17 25
51 60
01 13
60 42
c24 34
42 53
07 06
72 27
03 05
70 72
23 33
27 36
55 64
72 70
25 44
32 22
16 27
65 45
c05 45
75 57
33 43
47 55
c34 23
53 42
13 32
37 26
06 26
67 66
45 25
42 51
00 07
66 67
32 24
62 71
25 36
67 65
44 32
51 42
23 22
42 72
07 04
70 60
36 33
72 63
21 31
63 52
43 52
60 70
24 36
65 67
04 06
61 41
33 42
41 32
27 16
55 43
c22 32
67 77
36 57
43 55
42 45
55 74
45 43
74 66
26 25
66 54
43 73
c54 73
32 21
77 67
21 22
76 57
25 35
46 36
16 25
57 45
06 26
71 60
35 32
60 71
26 06
67 64
06 02
64 34
25 34
73 54
10 30
54 75
02 12
45 24
34 56
24 45
56 67
45 53
67 76
40 31
c32 31
c71 72
22 21
72 73
76 43
70 40
31 51
73 72
43 32
40 41
c30 41
36 26
32 43
75 63
52 63
c72 73
51 53
26 16
21 31
16 06
p T
12 52
06 02
43 65
02 07
53 54
07 27
54 55
73 63
55 35
27 24
65 74
c63 73
74 65
24 74
65 47
73 64
47 65
74 73
65 43
73 75
43 10
75 70
10 21
70 10
52 50
10 00
14 34
00 07
21 03
07 77
35 36
77 70
50 00
70 30
c03 30
64 63
30 21
63 74
00 10
74 63
10 16
63 62
16 10
62 72
10 11
72 61
36 37
61 70
21 65
70 60
65 76
60 71
31 32
71 70
34 44
70 71
11 15
71 61
32 42
61 62
37 77
62 61
42 53
61 60
53 43
60 61
77 27
61 62
15 17
62 51
17 12
51 41
12 42
c41 31
27 20
31 20
42 72
20 10
76 67
10 21
44 54
21 10
72 70
c10 21
70 60
21 11
60 30
11 02
30 37
02 13
43 34
13 04
37 07
c04 14
34 44
14 25
07 57
25 26
67 34
26 15
57 47
15 14
44 53
14 13
53 42
13 14
34 25
c14 15
25 03
15 16
54 64
16 06
64 74
p D
06 16
74 65
16 06
65 56
c06 05
47 46
05 04
56 34
c04 03
34 01
c03 13
46 36
13 24
36 66
24 13
66 64
13 22
64 24
c22 13
01 31
c13 03
31 04
c03 12
04 02
c12 02
42 53
02 11
24 26
11 00
26 25
00 10
53 52
10 00
52 63
00 11
63 73
11 10
25 15
c10 21
15 17
21 32
17 47
32 23
47 57
23 22
57 77
22 13
73 64
13 12
77 27
12 13
64 55
13 02
27 25
02 12
55 46
12 02
25 21
02 13
21 23
c13 02
23 24
02 13
24 74
13 03
74 70
03 12
46 45
12 01
45 44
01 12
70 10
c12 01
10 20
01 12
END:0
