B: Shaldon
N: Kasparov

11 21
63 43
02 20
73 63
20 02
67 47
14 24
77 67
10 30
61 41
03 47
63 36
15 25
41 30
01 22
64 54
22 14
76 64
24 34
72 63
17 27
36 27
47 45
67 77
45 54
77 57
16 36
27 16
54 43
57 54
00 01
64 72
43 32
30 20
32 42
71 52
42 52
63 52
25 35
52 63
07 67
16 14
c04 14
63 30
13 33
54 51
12 22
30 52
06 25
75 53
14 04
52 43
25 44
51 52
67 27
72 51
36 46
51 63
44 63
53 75
05 14
65 55
27 57
66 57
34 44
60 40
44 55
75 64
55 65
c74 63
02 20
52 51
21 31
51 56
20 02
43 25
22 32
70 74
01 11
25 70
33 43
74 76
11 21
70 52
31 40
52 30
40 50
64 55
04 03
76 71
32 42
55 00
43 53
56 76
03 04
71 74
21 24
62 53
24 21
76 56
21 01
56 54
01 21
54 64
21 20
53 42
20 10
30 03
02 13
00 44
14 36
c03 36
10 11
74 71
46 57
44 35
c04 05
36 27
c05 06
35 62
13 02
71 21
11 14
21 22
14 12
22 20
57 67
62 26
67 77
p A
20 24
12 17
64 44
17 07
24 14
02 57
26 35
07 17
44 74
65 75
p C
c63 62
17 15
35 17
c06 07
74 73
77 22
42 32
15 65
c62 71
75 63
c71 62
22 04
17 06
63 51
c62 53
51 70
73 71
57 35
c53 42
65 61
27 05
04 26
14 13
07 06
71 73
61 65
73 74
65 60
42 33
35 24
c33 34
26 44
74 64
44 22
64 60
22 13
34 45
13 02
45 34
24 42
05 23
42 51
60 50
51 24
50 54
02 20
23 01
06 16
54 55
24 42
34 23
42 53
55 65
53 42
23 34
20 11
34 23
70 51
65 60
51 63
60 10
16 05
10 50
05 15
50 10
63 51
32 22
15 25
22 11
42 75
10 40
51 63
01 10
63 44
c23 33
25 26
10 01
75 53
01 23
44 25
c33 24
25 33
23 05
53 20
05 41
26 27
41 30
20 11
30 63
c33 45
c24 25
11 33
40 60
33 42
60 10
42 53
10 16
53 26
25 14
27 36
63 72
36 27
72 45
c27 37
14 23
26 35
23 22
35 44
c22 21
44 53
45 23
53 26
23 41
26 15
16 46
15 06
41 23
06 60
23 14
60 24
14 41
24 46
41 52
37 27
21 20
27 26
20 10
26 27
52 63
c27 17
10 21
17 07
63 41
46 02
21 12
02 46
41 74
07 17
74 65
17 07
12 22
46 37
22 23
37 04
65 74
04 13
23 34
13 04
34 45
04 31
74 63
31 22
45 34
22 77
63 54
77 33
54 72
33 11
72 36
11 77
36 27
77 00
34 23
00 11
27 05
11 77
05 16
c07 06
16 07
77 55
07 16
55 11
END:0
